Codice;Prezzo;Unità
105361;21.73;1
105362;32.88;100
105381;111.42;1
105382;129.89;1
105383;134.75;1
105385;22.21;1
105386;22.21;1
105387;42.05;1
105388;24.25;1
105389;24.25;1
105390;39.75;1
105391;21.81;1
105392;21.81;1
105393;39.47;1
105397;6.98;1
105398;6.98;1
105428;23.33;1
105429;23.52;1
105434;132.41;1
105444;6.98;1
105445;6.98;1
105446;6.98;1
105447;6.98;1
105448;6.98;1
105449;6.98;1
105450;6.98;1
105451;6.98;1
105452;6.98;1
105453;6.98;1
105454;6.98;1
105455;6.98;1
105456;6.98;1
105457;6.98;1
105477;13.37;1
105478;13.37;1
105486;72.51;1
105507;23.75;1
105508;49.61;1
105509;54.91;1
105510;12.16;1
105512;331.91;1
105533;15.05;1
105541;44.31;1
105542;2.70;1
105578;10.08;1
105582;116.44;1
105587;6.74;1
105646;20.40;1
105648;14.82;1
105649;20.43;1
105650;20.40;1
105661;16.62;1
105663;16.62;1
105665;11.96;1
105666;16.62;1
105667;16.62;1
105672;11.96;1
105673;16.62;1
105674;16.62;1
105677;14.70;1
105679;10.35;1
105680;14.34;1
105681;14.70;1
105700;39.76;1
105701;42.04;1
105703;10.88;1
105704;6.66;1
105705;16.24;1
105707;18.23;1
105739;7.21;1
105740;7.21;1
105743;5.03;1
105746;2.44;1
105748;2.44;1
105760;11.65;1
105761;11.65;1
105762;21.00;1
105774;18.74;1
105775;18.74;1
105777;18.74;1
105782;12.37;1
105783;12.37;1
105784;10.64;1
105785;10.64;1
105789;6.28;1
105800;30.48;100
105801;30.48;100
105802;30.48;100
105803;9.55;1
105804;0.97;1
105819;41.42;1
105820;41.42;1
105833;0.91;1
105834;0.91;1
105846;63.76;1
105847;63.76;1
10585;1.59;1
105855;155.66;1
105858;69.61;1
105859;3.94;1
10586;1.66;1
105864;5.76;1
105865;5.97;1
105867;3.52;1
10587;16.81;1
105872;44.62;1
105873;58.17;1
105875;89.78;1
105876;116.94;1
105878;25.89;1
105879;31.86;1
105881;19.16;1
105882;23.58;1
105884;20.20;1
105885;26.06;1
105887;1.31;1
105889;6.91;1
105890;6.91;1
105891;8.19;1
105892;8.19;1
105893;8.19;1
105894;8.19;1
105895;10.02;1
105896;10.02;1
105897;17.37;1
105898;17.37;1
105905;19.07;1
105906;16.62;1
105908;51.19;1
105909;51.19;1
105910;52.83;1
105911;52.83;1
105912;53.82;1
105913;53.82;1
105914;8.99;1
105915;8.99;1
105919;21.63;1
105924;82.83;1
105927;107.77;1
105939;11.86;1
105946;86.73;1
105956;5.93;1
105958;6.19;1
105959;6.30;1
105961;6.30;1
105963;7.16;1
105964;9.82;1
105965;8.16;1
105966;3.15;1
105967;9.63;1
105968;9.19;1
105969;9.63;1
105970;9.19;1
105971;9.63;1
105973;135.84;1
105974;149.05;1
105975;151.10;1
105978;120.61;1
105979;200.82;1
105980;66.59;1
105981;33.00;1
105982;37.09;1
105983;122.53;1
105984;172.40;1
105986;172.40;1
105988;28.09;1
105989;63.99;1
10599;2.98;1
105990;63.99;1
105991;37.90;1
105992;17.95;1
105993;17.95;1
105994;15.12;1
105995;15.28;1
105998;9.07;1
105999;12.15;1
10600;2.98;1
106000;7.25;1
106001;9.00;1
106004;17.14;1
106005;18.17;1
106006;23.63;1
106007;23.21;1
106008;26.20;1
106009;25.75;1
106010;6.63;1
106011;6.54;1
106012;28.75;1
106013;22.35;1
106014;34.62;1
106015;3.20;1
106016;4.66;1
106017;51.36;1
106018;10.58;100
106019;9.01;100
106020;10.47;100
106021;13.64;100
106022;10.37;100
106023;9.56;100
106024;1.82;1
106025;18.60;100
106026;17.59;100
106027;15.87;100
106028;12.38;100
106029;17.59;100
106032;5.36;1
106033;4.63;1
106034;14.82;1
106035;7.90;1
106040;21.05;1
106041;21.05;1
106042;21.05;1
106043;21.05;1
106044;21.05;1
106045;21.05;1
106046;21.05;1
106047;15.17;1
106048;15.17;1
106050;15.12;1
106051;68.19;1
106052;75.32;1
106054;6.73;1
106055;159.78;1
106056;159.78;1
106057;265.42;1
106058;40.54;1
106059;40.54;1
10606;5.35;1
106060;29.04;1
106061;29.04;1
106062;48.51;1
106063;48.51;1
106064;25.76;1
106066;2.09;1
106067;51.36;1
106068;1.12;1
106073;25.76;1
106074;25.76;1
106075;42.31;1
10608;3.07;1
106082;15.17;1
106083;18.13;1
